source_example_id,status,error,output_chars,prediction,reference_answers
571c96095efbb31900334dbd,completed,,11,temperature,"[""temperature"", ""temperature"", ""temperature"", ""temperature"", ""temperature""]"
571cb010dd7acb1400e4c129,completed,,16,molecular oxygen,"[""organic molecules"", ""common organic molecules"", ""common organic molecules"", ""common organic molecules"", ""common organic molecules""]"
571cd88ddd7acb1400e4c190,completed,,6,oxygen,"[""oxygen gas"", ""oxygen"", ""oxygen"", ""oxygen"", ""oxygen""]"
5725b64d89a1e219009abd44,completed,,85,Apollo 13's landing was prevented by an oxygen tank explosion in transit to the Moon.,"[""oxygen tank explosion in transit to the Moon"", ""disabled the command spacecraft's propulsion and life support"", ""oxygen tank explosion in transit to the Moon"", ""oxygen tank explosion"", ""oxygen tank explosion in transit""]"
5725b888ec44d21400f3d454,completed,,5,three,"[""three"", ""three"", ""three"", ""three astronauts""]"
5725c071271a42140099d12b,completed,,8,Atlantic,"[""joining the easterly flow toward the Atlantic."", ""the easterly flow"", ""easterly""]"
5725c123271a42140099d132,completed,,13,"July 23, 1963","[""July 23, 1963"", ""1963"", ""July 23, 1963"", ""July 23, 1963"", ""July 23, 1963,""]"
5725c337271a42140099d166,completed,,9,tentacles,"[""tentacles"", ""tentacles"", ""tentacles""]"
5725cb4a89a1e219009abecc,completed,,5,"5,560","[""5,560 kg"", ""5,560"", ""5,560"", ""5,560 kg"", ""5,560""]"
5725d0e3271a42140099d235,completed,,36,dummy upper stages filled with water,"[""dummy upper stages filled with water"", ""dummy upper stages"", ""dummy upper stages"", ""dummy upper stages filled with water"", ""dummy upper stages filled with water.""]"
5725d51589a1e219009abf6e,completed,,26,Project Mercury and Gemini,"[""Mercury and Gemini"", ""Mercury"", ""Mercury and Gemini"", ""Project Mercury and Gemini"", ""Mercury and Gemini""]"
5725d662ec44d21400f3d687,completed,,1,3,"[""three"", ""three"", ""three""]"
5725dd1689a1e219009abfe4,completed,,10,George Low,"[""George Low"", ""Low"", ""George Low"", ""George Low"", ""George Low.""]"
5725ea6889a1e219009ac0a0,completed,,5,KREEP,"[""KREEP"", ""calcium-rich feldspar mineral anorthite,"", ""anorthite"", ""feldspar mineral anorthite"", ""KREEP""]"
5725eb8a38643c19005ace81,completed,,39,Materials melted near an impact crater.,"[""materials melted near an impact crater."", ""materials melted near an impact crater"", ""materials melted near an impact crater"", ""materials melted near an impact crater"", ""materials melted near an impact crater.""]"
5725f6e138643c19005acf1c,completed,,10,2.2 inches,"[""2.2 inches"", ""2.2 inches (0.06 m)"", ""2.2 inches""]"
5725fabc89a1e219009ac128,completed,,7,"427,652","[""427,652"", ""427,652"", ""427,652""]"
57263677ec44d21400f3dc4c,completed,,17,store and forward,"[""by store and forward switching"", ""packets"", ""store and forward switching""]"
57264228ec44d21400f3dcf6,completed,,13,Larry Roberts,"[""Larry Roberts"", ""ARPA IPTO director Larry Roberts"", ""Larry Roberts""]"
572647935951b619008f6eca,completed,,7,1338-39,"[""dating to 1338–39"", ""1338–39"", ""1338–39""]"
572648e8dd62a815002e8077,completed,,10,locomotion,"[""method of locomotion"", ""their main method of locomotion"", ""locomotion""]"
57264b1ddd62a815002e80a1,completed,,15,bioluminescence,"[""bioluminescence"", ""bioluminescence"", ""bioluminescence""]"
57264d58f1498d1400e8db7d,completed,,9,90 to 95%,"[""90 to 95 percent"", ""90 to 95"", ""90 to 95 percent""]"
572651f9f1498d1400e8dbef,completed,,52,initiate legislation against the Commission's wishes,"[""cannot initiate legislation against the Commission's wishes"", ""Parliament cannot initiate legislation against the Commission's wishes"", ""initiate legislation against the Commission's wishes"", ""cannot initiate legislation against the Commission's wishes""]"
57265526708984140094c2c0,completed,,12,January 1979,"[""January 1979"", ""1979"", ""1979"", ""1979"", ""January 1979""]"
57265a58dd62a815002e8272,completed,,22,"Ford, Chrysler, and GM","[""Ford, Chrysler, and GM"", ""Ford, Chrysler, and GM"", ""Ford, Chrysler, and GM, respectively"", ""Ford"", ""Ford, Chrysler, and GM""]"
57265d08708984140094c39b,completed,,5,1960s,"[""the 1960s"", ""1960s"", ""1960s"", ""1960s""]"
572667e2f1498d1400e8de91,completed,,19,magma or lava flows,"[""magma or lava flows"", ""magma or lava flows"", ""magma or lava"", ""magma or lava flows""]"
57266dd4f1498d1400e8df7a,completed,,6,Stairs,"[""Stairs"", ""Stairs"", ""chares'""]"
572671165951b619008f72ba,completed,,3,244,"[""244"", ""244"", ""244 are listed,""]"
572674f6f1498d1400e8e03b,completed,,28,Eldon Square Shopping Centre,"[""Eldon Square Shopping Centre,"", ""the Eldon Square Shopping Centre"", ""the Eldon Square Shopping Centre""]"
57267b755951b619008f7433,completed,,57,Disney Media Networks division of The Walt Disney Company,"[""The Walt Disney Company"", ""Disney–ABC Television Group"", ""Disney–ABC Television Group""]"
57268109f1498d1400e8e1fe,completed,,1,2,"[""2"", ""2"", ""2 weeks each year""]"
57268220f1498d1400e8e217,completed,,16,Geochronologists,"[""Geochronologists"", ""Geochronologists"", ""Geochronologists""]"
57268527708984140094c8c2,completed,,62,the Earth must be much older than had previously been supposed,"[""Earth must be much older than had previously been supposed"", ""Earth must be much older than had previously been supposed"", ""the Earth must be much older than had previously been supposed""]"
572685d1f1498d1400e8e2a2,completed,,13,"June 30, 1951","[""June 30, 1951"", ""1951"", ""June 30, 1951""]"
57268d02f1498d1400e8e37a,completed,,13,George Wallis,"[""George Wallis"", ""George Wallis"", ""George Wallis""]"
57268ff9f1498d1400e8e3e9,completed,,47,the Tyne and Wear Passenger Transport Executive,"[""the Tyne and Wear Passenger Transport Executive."", ""the Tyne and Wear Passenger Transport Executive"", ""Passenger Transport Executive""]"
57268ff9f1498d1400e8e3ea,completed,,13,Go North East,"[""Go-Ahead"", ""Go-Ahead"", ""Go-Ahead""]"
57269656708984140094cafe,completed,,11,£76 million,"[""£76 million"", ""£76 million"", ""£76 million""]"
57269e3bf1498d1400e8e519,completed,,15,British Gas plc,"[""British Gas plc"", ""British Gas plc"", ""British Gas plc""]"
57269f3ef1498d1400e8e536,completed,,24,set up an insurance fund,"[""failed to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent"", ""to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent, as the Insolvency Protection Directive required"", ""to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent, as the Insolvency Protection Directive required""]"
5726a3c6f1498d1400e8e5af,completed,,4,1997,"[""1997"", ""1997"", ""1997""]"
5726a8d4dd62a815002e8c35,completed,,7,Merkits,"[""the Merkits"", ""Merkits"", ""the Merkits""]"
5726afeb708984140094cdd8,completed,,13,mosaic floors,"[""mosaic floors"", ""the mosaic floors in the sculpture gallery"", ""mosaic floors""]"
5726ba2c708984140094cf5a,completed,,30,prevent cut throat competition,"[""cut throat competition"", ""prevent cut throat competition"", ""prevent cut throat competition""]"
5726ba83dd62a815002e8e6a,completed,,11,Bishopsgate,"[""Bishopsgate"", ""Bishopsgate"", ""Bishopsgate""]"
5726c61ff1498d1400e8eae2,completed,,16,captured enemies,"[""captured enemies"", ""captured enemies"", ""captured enemies""]"
5726caaaf1498d1400e8eb5c,completed,,49,broadcasting the coronation of Queen Elizabeth II,"[""coronation of Queen Elizabeth II"", ""the coronation of Queen Elizabeth II"", ""the coronation of Queen Elizabeth II""]"
5726d993f1498d1400e8ed18,completed,,20,Michelangelo's David,"[""David"", ""David."", ""David""]"
5726db5add62a815002e92d8,completed,,25,middle eastern scientists,"[""many middle eastern scientists"", ""middle eastern scientists"", ""many middle eastern scientists""]"
5726e5ac708984140094d51f,completed,,37,"It's the Great Pumpkin, Charlie Brown","[""It's the Great Pumpkin"", ""It's the Great Pumpkin, Charlie Brown"", ""It's the Great Pumpkin""]"
5726e860708984140094d57a,completed,,20,channels 2 through 6,"[""channels 2 through 6"", ""2 through 6"", ""low-band VHF""]"
5726ed12708984140094d645,completed,,4,1952,"[""1952"", ""1952"", ""1952""]"
5726ef73f1498d1400e8f061,completed,,28,"Often, individual state laws","[""individual state laws"", ""individual state laws"", ""Often, individual state laws outline what defines a valid patient-doctor relationship""]"
5726f4a0708984140094d6ec,completed,,12,The Hay Wain,"[""The Hay Wain"", ""The Hay Wain."", ""The Hay Wain""]"
572703fdf1498d1400e8f23e,completed,,29,1st century AD to the present,"[""from the 1st century AD to the present"", ""1st century AD to the present,"", ""1st century AD to the present""]"
57270541dd62a815002e97ca,completed,,11,Netherlands,"[""the Netherlands"", ""Netherlands"", ""the Netherlands""]"
57272dd55951b619008f8699,completed,,6,arrows,"[""arrows"", ""arrows"", ""arrows""]"
572736625951b619008f86d2,completed,,14,1995-96 season,"[""1995–96 season"", ""1995–96"", ""2011–12""]"
57273d19708984140094db3e,completed,,8,ABC Inc.,"[""ABC Inc."", ""ABC Inc."", ""ABC Inc""]"
57273ef15951b619008f8753,completed,,9,Baltimore,"[""Baltimore"", ""Baltimore"", ""Baltimore""]"
57274046dd62a815002e9a15,completed,,53,"structural collapse, cost overruns, and/or litigation","[""structural collapse, cost overruns, and/or litigation"", ""structural collapse, cost overruns, and/or litigation"", ""structural collapse, cost overruns, and/or litigation""]"
57274633dd62a815002e9a50,completed,,23,Worldvision Enterprises,"[""Worldvision Enterprises"", ""Worldvision Enterprises"", ""Worldvision Enterprises""]"
57274baff1498d1400e8f5de,completed,,15,Barbara Walters,"[""Barbara Walters"", ""Barbara Walters"", ""Barbara Walters""]"
57274ca8dd62a815002e9aa5,completed,,5,India,"[""India"", ""India"", ""India""]"
5727526cdd62a815002e9b0f,completed,,32,Public-Private Partnering (PPPs),"[""Public-Private Partnering"", ""Public-Private Partnering"", ""Public-Private Partnering""]"
57275409708984140094dc35,completed,,55,government schools formerly reserved for white children,"[""government schools formerly reserved for white children"", ""government schools formerly reserved for white children"", ""semi-private""]"
572754b5dd62a815002e9b44,completed,,4,1946,"[""1946"", ""1946"", ""1943""]"
5727580bf1498d1400e8f69b,completed,,11,Lake Baikal,"[""Lake Baikal"", ""Lake Baikal"", ""Lake Baikal""]"
57275e125951b619008f88da,completed,,7,CFTO-TV,"[""CFTO-TV"", ""CFTO-TV"", ""CFTO-TV""]"
572763a8708984140094dcdc,completed,,30,America's Funniest Home Videos,"[""America's Funniest Home Videos"", ""America's Funniest Home Videos"", ""America's Funniest Home Videos""]"
57277585708984140094de2b,completed,,17,Laverne & Shirley,"[""Laverne & Shirley"", ""Laverne & Shirley"", ""Laverne & Shirley""]"
5727b0892ca10214002d93e9,completed,,24,English university model,"[""English university model"", ""English university"", ""English university""]"
5727cebc2ca10214002d96f2,completed,,6,"14,000","[""14,000"", ""14,000"", ""14,000""]"
5727cff1ff5b5019007d95c6,completed,,23,Allston Science Complex,"[""Allston Science Complex"", ""Allston Science Complex"", ""construction of the $1.2 billion Allston Science Complex""]"
5727dd2e4b864d1900163ebc,completed,,7,Cornell,"[""strong rivalry against Cornell"", ""Cornell"", ""Cornell""]"
5727f2714b864d1900164073,completed,,8,increase,"[""increase"", ""an increase"", ""increase""]"
5727f8342ca10214002d9a7f,completed,,34,"Battlestar Galactica, Bionic Woman","[""Battlestar Galactica and Bionic Woman"", ""Battlestar Galactica and Bionic Woman"", ""Battlestar Galactica and Bionic Woman""]"
5727fed73acd2414000df1a2,completed,,2,3%,"[""3%"", ""3%"", ""3%""]"
5727ffb5ff5b5019007d9a8d,completed,,15,blue police box,"[""blue police box"", ""a police box"", ""blue police box""]"
572810ec2ca10214002d9d0a,completed,,16,"February 9, 1832","[""February 9, 1832"", ""1832."", ""February 9, 1832""]"
572812eaff5b5019007d9c82,completed,,35,to exterminate all non-Dalek beings,"[""to \""exterminate\"" all non-Dalek beings"", ""to \""exterminate\"" all non-Dalek beings"", ""to \""exterminate\"" all non-Dalek beings""]"
5728185f3acd2414000df45f,completed,,4,Gold,"[""Gold"", ""Gold"", ""Gold""]"
572818f54b864d1900164470,completed,,17,Shiphrah and Puah,"[""Shiphrah and Puah"", ""Shiphrah and Puah"", ""Shiphrah and Puah"", ""Shiphrah and Puah"", ""Shiphrah and Puah""]"
572821274b864d1900164514,completed,,27,its distinctive flared base,"[""its distinctive flared base"", ""distinctive flared base"", ""distinctive flared base""]"
572826762ca10214002d9f2d,completed,,23,Doctor Who Confidential,"[""excerpts from the Doctor Who Confidential documentary"", ""excerpts from the Doctor Who Confidential"", ""excerpts from the Doctor Who Confidential documentary""]"
572829532ca10214002d9fa5,completed,,17,Children of Earth,"[""Children of Earth"", ""Children of Earth"", ""Children of Earth""]"
572838323acd2414000df737,completed,,4,2006,"[""2006"", ""2006"", ""2006""]"
57283ce72ca10214002da14c,completed,,15,BAFTA TV Awards,"[""Best Drama Series"", ""Best Drama Series"", ""Best Drama Series""]"
572849b4ff5b5019007da0f4,completed,,12,$200 million,"[""around $200 million"", ""$200 million"", ""$200 million"", ""$200 million""]"
57285841ff5b5019007da19d,completed,,8,Fermilab,"[""Fermilab"", ""Fermilab"", ""Fermilab""]"
57286192ff5b5019007da1dd,completed,,38,Commentaries on the Classic of Changes,"[""the Commentaries on the Classic of Changes (I Ching)"", ""the Commentaries on the Classic of Changes""]"
572864542ca10214002da2e1,completed,,13,Jay Berwanger,"[""Jay Berwanger"", ""Jay Berwanger"", ""Jay Berwanger""]"
57286bb84b864d19001649ca,completed,,14,southern China,"[""southern China"", ""southern China"", ""southern China""]"
5728705c2ca10214002da35a,completed,,7,Shangdu,"[""Shangdu"", ""Shangdu"", ""Shangdu""]"
5728710c3acd2414000df9f2,completed,,14,Jingshi Dadian,"[""Jingshi Dadian"", ""Jingshi Dadian"", ""Jingshi Dadian""]"
57287ddf3acd2414000dfa40,completed,,22,Sui and Tang dynasties,"[""since the Sui and Tang dynasties"", ""Sui and Tang dynasties"", ""since the Sui and Tang dynasties""]"
57287f6a3acd2414000dfa53,completed,,12,Song dynasty,"[""Song"", ""Song"", ""the Song dynasty""]"
5728d63c4b864d1900164f1c,completed,,10,Satyagraha,"[""doctrine of Satyagraha"", ""Satyagraha"", ""Satyagraha"", ""Satyagraha"", ""Satyagraha""]"
5728dafe3acd2414000e0060,completed,,7,Resign.,"[""Resign"", ""Resign"", ""Resign"", ""Resign"", ""Resign""]"
5728dddc2ca10214002da9d4,completed,,18,covert lawbreaking,"[""fabricating evidence or committing perjury"", ""fabricating evidence or committing perjury"", ""covert lawbreaking"", ""assisting in fabricating evidence or committing perjury"", ""covert lawbreaking""]"
5728ef8d2ca10214002daac3,completed,,19,first millennium AD,"[""By the first millennium AD"", ""By the first millennium AD"", ""first millennium AD""]"
5728f2e26aef051400154896,completed,,16,Immunodeficiency,"[""Immunodeficiency"", ""Immunodeficiency"", ""Immunodeficiency occurs""]"
5728fd9b3f37b31900477f3d,completed,,14,Duarte Barbosa,"[""Duarte Barbosa"", ""Duarte Barbosa"", ""Duarte Barbosa""]"
57290e153f37b31900477fda,completed,,44,"Truth, Justice and Reconciliation Commission","[""Truth, Justice and Reconciliation Commission"", ""Truth, Justice and Reconciliation Commission"", ""Truth, Justice and Reconciliation Commission""]"
572917ff6aef051400154a5f,completed,,7,tourism,"[""tourism"", ""tourism"", ""tourism""]"
57291b461d04691400779049,completed,,17,fertile highlands,"[""the fertile highlands"", ""fertile highlands"", ""highlands""]"
57291fb4af94a219006aa0b4,completed,,6,Kilifi,"[""Base Titanium, a subsidiary of Base resources of Australia"", ""Base Titanium"", ""Base Titanium""]"
57293b843f37b31900478137,completed,,5,43/53,"[""Resolution 43/53"", ""Resolution 43/53"", ""Resolution 43/53""]"
57293ca73f37b3190047815f,completed,,42,Financial Regulations and Rules of the WMO,"[""the Financial Regulations and Rules of the WMO"", ""Financial Regulations and Rules of the WMO"", ""Financial Regulations and Rules of the WMO""]"
5729517d6aef051400154cca,completed,,4,IPCC,"[""IPCC"", ""IPCC"", ""the IPCC""]"
572957361d046914007792cf,completed,,13,Cyanobacteria,"[""Cyanobacteria"", ""Cyanobacteria"", ""Cyanobacteria""]"
572957361d046914007792d2,completed,,25,having two cell membranes,"[""they have two cell membranes"", ""two cell membranes"", ""they have two cell membranes.""]"
5729686d1d046914007793c5,completed,,6,300000,"[""three million"", ""150,000"", ""three million""]"
57296d571d04691400779416,completed,,6,primes,"[""a product of primes"", ""product of primes that is unique up to ordering"", ""primes"", ""primes"", ""primes that is unique up to ordering""]"
57296f85af94a219006aa404,completed,,17,roughly spherical,"[""roughly spherical"", ""roughly spherical"", ""spherical""]"
572973ccaf94a219006aa44d,completed,,23,reactive oxygen species,"[""reactive oxygen species"", ""reactive oxygen species"", ""reactive oxygen species""]"
572973f76aef051400154f0d,completed,,1,9,"[""9"", ""9"", ""9"", ""9"", ""9""]"
572975073f37b31900478417,completed,,30,up to a thousand times as many,"[""up to a thousand times"", ""up to a thousand times as many"", ""(up to a thousand times as many) inside the thylakoid system than in the stroma""]"
57297d421d046914007794e8,completed,,24,deterministic algorithms,"[""deterministic"", ""deterministic algorithm"", ""deterministic"", ""deterministic"", ""deterministic""]"
572982e66aef051400154f95,completed,,30,Electronic Frontier Foundation,"[""The Electronic Frontier Foundation"", ""Electronic Frontier Foundation"", ""Electronic Frontier Foundation"", "". The Electronic Frontier Foundation"", ""$150,000""]"
